topic_id,label,pattern,cap,coverage,confidence,evidence_labels,rationale
picard-scheme,Picard scheme,picard scheme|picard space|picard stack,100,partial,high,pic-section-picard-curve;pic-section-representability,Curve representability is explicit while general FGA existence requires unit review.
cartier-divisor,Cartier divisor,cartier divisor|effective divisor,100,direct,high,divisors-lemma-relative-Cartier;chow-section-relative-effective-cartier,Relative effective Cartier divisors are developed directly.
invertible-module,Invertible module,invertible module|invertible sheaf|line bundle,120,direct,high,modules-section-invertible;cohomology-section-invertible-sheaves,Invertible modules and their cohomological classification are present.
poincare-bundle,Poincare bundle,poincare (?:bundle|sheaf)|universal line bundle,80,no_direct,medium,pic-section-picard-functor,The Picard functor is nearby but no labelled Poincare-bundle treatment was found.
albanese,Albanese,albanese,80,no_direct,high,,No Albanese occurrence was found in the current TeX tree.
abelian-scheme,Abelian scheme,abelian scheme|abelian variety,100,partial,high,groupoids-section-abelian-varieties,Abelian varieties over fields are treated but abelian schemes are not a systematic chapter.
neron-severi,Neron-Severi,neron.?severi,80,no_direct,high,,No Neron-Severi occurrence was found in the current TeX tree.
hilbert-polynomial,Hilbert polynomial,hilbert polynomial,80,direct,high,varieties-subsection-hilbert,Hilbert polynomials have a dedicated subsection.
flatness,Flatness,\bflatness\b|\bflat morphism|\bflat module,120,broad,high,morphisms-section-flat,Flat morphisms and many refinements are developed throughout the project.
properness,Properness,\bproperness\b|\bproper morphism,120,broad,high,morphisms-section-proper,Proper morphisms and their criteria are developed directly.
smoothness,Smoothness,\bsmoothness\b|\bsmooth morphism,120,broad,high,morphisms-section-smooth,Smooth morphisms and their criteria are developed directly.
separatedness,Separatedness,\bseparatedness\b|\bseparated morphism,120,broad,high,schemes-section-valuative-separatedness,Separatedness and its valuative criterion are explicit.
projectivity,Projectivity,\bprojectiv(?:e|ity)\b,120,broad,high,morphisms-section-projective,Projective morphisms have a dedicated section.
quasi-projectivity,Quasi-projectivity,quasi-projectiv,100,broad,high,morphisms-section-quasi-projective,Quasi-projective morphisms have a dedicated section.
ampleness,Ampleness,\bample\b|\bampleness\b,120,broad,high,properties-section-ample;morphisms-section-relatively-ample,Absolute and relative ampleness are developed directly.
finite-type,Finite type,finite type|locally of finite type,120,broad,high,morphisms-section-finite-type,Finite-type morphisms are basic project infrastructure.
connected-component,Connected component,connected component|identity component,100,direct,high,more-morphisms-section-connected;topology-section-connected-components,Topological and fibrewise connected components are explicit.
group-scheme,Group scheme,group scheme|group algebraic space,120,direct,high,groupoids-section-group-schemes;groupoids-section-properties-group-schemes-field,Group schemes and their fieldwise properties are explicit.
etale,Etale,etale,120,broad,high,morphisms-section-etale;pione-section-finite-etale,Etale and finite etale morphisms are developed directly.
fundamental-group,Fundamental group,fundamental group,100,direct,high,pione-section-fundamental-groups,The etale fundamental group has a dedicated section.
galois-cover,Galois cover,galois cover|galois covering,100,direct,high,pione-section-finite-etale-under-galois,Galois covers of connected schemes are explicit.
tame-ramification,Tame ramification,tame ramification|tamely ramified,80,direct,high,pione-section-tame,Tame ramification has a dedicated section.
frobenius-radicial,Frobenius and radicial morphisms,frobenius|radicial|universally injective,100,broad,high,morphisms-section-radicial;varieties-section-frobenius,Radicial morphisms and Frobenius are treated in separate sections.
normality,Normality,\bnormality\b|\bnormal scheme|\bnormal morphism,120,broad,high,properties-section-normal;more-morphisms-section-normal,Normal schemes and normal morphisms are explicit.
serre-s2,Serre S2,serre.?s.?2|condition.?s.?2,80,direct,high,properties-section-Rk,Serre conditions are defined uniformly and include S2.
boundedness,Boundedness,bounded famil|boundedness,100,direct,high,varieties-subsection-boundedness;moduli-section-quot-bounded,Bounded quotients and moduli boundedness are explicit.
numerical-equivalence,Numerical equivalence,numerical equivalence,80,no_direct,medium,varieties-section-num,Numerical intersections are nearby but no explicit numerical-equivalence treatment was found.
algebraic-equivalence,Algebraic equivalence,algebraic equivalence,80,no_direct,high,,No algebraic-equivalence occurrence was found in the current TeX tree.
torsion-equivalence,Torsion and equivalence,torsion equivalence|torsion subgroup,80,partial,medium,curves-section-torsion-in-pic,Torsion in curve Picard groups is present but the broader FGA relation is not explicit.
euler-characteristic,Euler characteristic,euler characteristic,80,direct,high,varieties-section-euler;spaces-over-fields-section-euler,Euler characteristics are defined for schemes and spaces over fields.
base-change,Base change,base change,120,broad,high,coherent-section-cohomology-and-base-change;duality-section-base-change-map,Cohomology and duality base-change maps have dedicated treatments.
formal-functions,Formal functions,formal functions,80,direct,high,coherent-section-theorem-formal-functions;algebraization-section-formal-functions,The theorem on formal functions appears in two dedicated treatments.
cohomology,Cohomology,\bcohomology\b,120,broad,high,cohomology-section-cech-cohomology-cohomology,General sheaf cohomology and many geometric specializations are present.
