unit_id,volume,kind,source_number,source_label,parent_id,printed_page,source_file,line,anchor_sha256,authority_state,review_state
ega:IV.5.1.1.3,IV,equation,IV.5.1.1.3,IV.5.1.1.3,ega:IV.5.1.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,30,15C2616B850229052FCA6AA21F14ED0DC5AB66B68C202281CE1017A81AAD9DB5,english_discovery,unreviewed
ega:IV.5.1.1.4,IV,label,IV.5.1.1.4,IV.5.1.1.4,ega:subsection:IV.5.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,36,7AFA7439DD1914F8EC7400DC2AD8A9CE533EBCCFF0B5C881F171694DC78C45AC,english_discovery,unreviewed
ega:IV.5.1.1.5,IV,label,IV.5.1.1.5,IV.5.1.1.5,ega:subsection:IV.5.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,40,FFB90142DF8554823D377893B0711D82A1E62DDC988477B02AD27CCDEB3CFEC6,english_discovery,unreviewed
ega:IV.5.1.1.6,IV,label,IV.5.1.1.6,IV.5.1.1.6,ega:subsection:IV.5.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,47,B9D6B955E7709FD9CB30051D864162DECF9D764FD0F09B543703517944AEFD30,english_discovery,unreviewed
ega:IV.5.1.2,IV,proposition,5.1.2,IV.5.1.2,ega:subsection:IV.5.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,61,B62BFAF9F06AF537BCCF4416499ACED6F9D8E95431A87CA725CBF6E1A6B25166,english_discovery,unreviewed
ega:IV.5.1.2.1,IV,equation,IV.5.1.2.1,IV.5.1.2.1,ega:IV.5.1.2,IV-2:86,components/01_section51_dimension_of_preschemes.tex,66,4A878A2E3F4263488B431F805D2AF7691CCFCD7D2ACEA0D5BABC70F36D8E4E26,english_discovery,unreviewed
ega:IV.5.1.2:proof,IV,proof,proof,,ega:IV.5.1.2,IV-2:86,components/01_section51_dimension_of_preschemes.tex,70,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.3,IV,corollary,5.1.3,IV.5.1.3,ega:subsection:IV.5.1,IV-2:87,components/01_section51_dimension_of_preschemes.tex,86,F93565967F03D3CEC50CE92EC3E48CD91BB7C5B4B635222632E1E5EBB4B7D3DC,english_discovery,unreviewed
ega:IV.5.1.3.1,IV,equation,IV.5.1.3.1,IV.5.1.3.1,ega:IV.5.1.3,IV-2:87,components/01_section51_dimension_of_preschemes.tex,90,CE345A255E6A9347D62F945583CDFCB29E915EADABEDAFA0BD44EC3B909F01CD,english_discovery,unreviewed
ega:IV.5.1.3.2,IV,equation,IV.5.1.3.2,IV.5.1.3.2,ega:IV.5.1.3,IV-2:87,components/01_section51_dimension_of_preschemes.tex,97,8ED967895ADC7260F81203E3C3D4FCC7AC11D398D7C7FC49C83BE1A1096F6493,english_discovery,unreviewed
ega:IV.5.1.3:proof,IV,proof,proof,,ega:IV.5.1.3,IV-2:87,components/01_section51_dimension_of_preschemes.tex,101,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.4,IV,proposition,5.1.4,IV.5.1.4,ega:subsection:IV.5.1,IV-2:87,components/01_section51_dimension_of_preschemes.tex,112,969745D04D36824921299288CB3BA84776C41A85B1AC4DE998A768212D05F65A,english_discovery,unreviewed
ega:IV.5.1.4.1,IV,equation,IV.5.1.4.1,IV.5.1.4.1,ega:IV.5.1.4,IV-2:87,components/01_section51_dimension_of_preschemes.tex,116,F80A4D7FAF7C0B6CCC136B8D2FAC01D692C9FFDEAFC865393D7C036380F6BCDC,english_discovery,unreviewed
ega:IV.5.1.4.2,IV,equation,IV.5.1.4.2,IV.5.1.4.2,ega:IV.5.1.4,IV-2:87,components/01_section51_dimension_of_preschemes.tex,122,4569D9AA9F0D8720A144A448727F5474DC9980B78A6DEF4F3568FB007E8FCCAC,english_discovery,unreviewed
ega:IV.5.1.4:proof,IV,proof,proof,,ega:IV.5.1.4,IV-2:87,components/01_section51_dimension_of_preschemes.tex,127,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.5,IV,corollary,5.1.5,IV.5.1.5,ega:subsection:IV.5.1,IV-2:87,components/01_section51_dimension_of_preschemes.tex,143,30F34C935A4853A690B00594801CF5F81A55362F391730A59BBB66DA2058AE4F,english_discovery,unreviewed
ega:IV.5.1.5:proof,IV,proof,proof,,ega:IV.5.1.5,IV-2:87,components/01_section51_dimension_of_preschemes.tex,151,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.6,IV,statement,5.1.6,IV.5.1.6,ega:subsection:IV.5.1,IV-2:87,components/01_section51_dimension_of_preschemes.tex,159,3B2A16B2886883C972656EE24E17ED690A8267E7BF6EEFB9B77E56835011FC5C,english_discovery,unreviewed
ega:IV.5.1.7,IV,proposition,5.1.7,IV.5.1.7,ega:subsection:IV.5.1,IV-2:87,components/01_section51_dimension_of_preschemes.tex,174,4D34FD25BD47DC0ECF0F042A0FA51AF253E00AFD26DDC19274A3C1969DCBE865,english_discovery,unreviewed
ega:IV.5.1.8,IV,corollary,5.1.8,IV.5.1.8,ega:subsection:IV.5.1,IV-2:87,components/01_section51_dimension_of_preschemes.tex,186,E9F94920E2425CC99162F22BC6B72A018803472A32D4383859209DB38EB7D1D6,english_discovery,unreviewed
ega:IV.5.1.8:proof,IV,proof,proof,,ega:IV.5.1.8,IV-2:87,components/01_section51_dimension_of_preschemes.tex,195,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.9,IV,proposition,5.1.9,IV.5.1.9,ega:subsection:IV.5.1,IV-2:88,components/01_section51_dimension_of_preschemes.tex,212,3B0E9C7B33FBB86B424C4E1A1999A44BEEDE37B78F01AC21D8232C355D19D218,english_discovery,unreviewed
ega:IV.5.1.9.1,IV,equation,IV.5.1.9.1,IV.5.1.9.1,ega:IV.5.1.9,IV-2:88,components/01_section51_dimension_of_preschemes.tex,222,28CDF7340AA8DA0B00F43A03ECA1046C41848582CA170A36164A34DF8208FCA2,english_discovery,unreviewed
ega:IV.5.1.9:proof,IV,proof,proof,,ega:IV.5.1.9,IV-2:88,components/01_section51_dimension_of_preschemes.tex,226,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.10,IV,proposition,5.1.10,IV.5.1.10,ega:subsection:IV.5.1,IV-2:88,components/01_section51_dimension_of_preschemes.tex,255,037CA47ECAA37D4ED26F6362B182306480B768B4DE0671A77F6540AEB0FB04BE,english_discovery,unreviewed
ega:IV.5.1.10.i,IV,label,{\rm(i)},IV.5.1.10.i,ega:subsection:IV.5.1,IV-2:88,components/01_section51_dimension_of_preschemes.tex,259,0DBD9F3DD9CBDEC81FAF86CAD71AE1131C6EF37F0B7D639DF07167580325EAB5,english_discovery,unreviewed
ega:IV.5.1.10.ii,IV,label,{\rm(i)},IV.5.1.10.ii,ega:subsection:IV.5.1,IV-2:88,components/01_section51_dimension_of_preschemes.tex,265,DD7C4334E73EC2443386D67E1CDEB382198BF6ACB4BB9711B5A7C6E45AB2CE11,english_discovery,unreviewed
ega:IV.5.1.10:proof,IV,proof,proof,,ega:IV.5.1.10,IV-2:88,components/01_section51_dimension_of_preschemes.tex,273,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.10.1,IV,lemma,5.1.10.1,IV.5.1.10.1,ega:subsection:IV.5.1,IV-2:88,components/01_section51_dimension_of_preschemes.tex,279,7813975B8A282AE038032ABA07465F7F49A8B12B753F5ADCBC5EEA6C31986B8A,english_discovery,unreviewed
ega:IV.5.1.10.1:proof,IV,proof,proof,,ega:IV.5.1.10.1,IV-2:88,components/01_section51_dimension_of_preschemes.tex,288,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.10.1:proof:2,IV,proof,proof,,ega:IV.5.1.10.1,IV-2:89,components/01_section51_dimension_of_preschemes.tex,307,1DAA52330710047A3B2384E88F1C1800104D4DF73EA6727ED70D0331BCA2FFBB,english_discovery,unreviewed
ega:IV.5.1.11,IV,corollary,5.1.11,IV.5.1.11,ega:subsection:IV.5.1,IV-2:89,components/01_section51_dimension_of_preschemes.tex,323,C5B6034827164D1B63ACA2B5B72B4820F84BC72AA281FF05C86FCF1EA2A6E0AB,english_discovery,unreviewed
ega:IV.5.1.11:proof,IV,proof,proof,,ega:IV.5.1.11,IV-2:89,components/01_section51_dimension_of_preschemes.tex,328,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.1.12,IV,statement,5.1.12,IV.5.1.12,ega:subsection:IV.5.1,IV-2:89,components/01_section51_dimension_of_preschemes.tex,336,35A82EF70C69E4C5F3B010F1D8D7A1EA5EA4863CDE572D4E4FC56AD759054751,english_discovery,unreviewed
ega:IV.5.1.12.1,IV,equation,IV.5.1.12.1,IV.5.1.12.1,ega:IV.5.1.12,IV-2:89,components/01_section51_dimension_of_preschemes.tex,361,A29690BF3BAB771D2DBD386739E412AAD8A5D3E54E873FBFC71A07F0D217E37E,english_discovery,unreviewed
ega:IV.5.1.12.2,IV,equation,IV.5.1.12.2,IV.5.1.12.2,ega:IV.5.1.12,IV-2:89,components/01_section51_dimension_of_preschemes.tex,367,012913FBBD990197C68923417241A0B4670D9AFEBFBBF8492189A4C46E172B3D,english_discovery,unreviewed
ega:IV.5.1.12.3,IV,equation,IV.5.1.12.3,IV.5.1.12.3,ega:IV.5.1.12,IV-2:89,components/01_section51_dimension_of_preschemes.tex,381,1CF43D7E3C0BE66E87DAB269B9FA1441BFBD541E27CA15E0D5D989D2CD98D6CE,english_discovery,unreviewed
ega:IV.5.1.13,IV,proposition,5.1.13,IV.5.1.13,ega:subsection:IV.5.1,IV-2:89,components/01_section51_dimension_of_preschemes.tex,392,D1B1BAA3C93831174F77EDAB5DE290B23267980ED5C05C4CE88E429887C03821,english_discovery,unreviewed
ega:IV.5.1.13.1,IV,equation,IV.5.1.13.1,IV.5.1.13.1,ega:IV.5.1.13,IV-2:89,components/01_section51_dimension_of_preschemes.tex,398,E96812EF8DD73969E3E9CD70C6B87C757B5F77563B5F5ED629BE4250068C2005,english_discovery,unreviewed
ega:IV.5.1.13:proof,IV,proof,proof,,ega:IV.5.1.13,IV-2:89,components/01_section51_dimension_of_preschemes.tex,402,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:subsection:IV.4.2,IV,subsection,subsection:IV.4.2,subsection:IV.4.2,ega:volume:IV,,components/02_section42_associated_prime_cycles.tex,2,542F1553AB4AD5ED21723CB79DC52078D3E07D6F1207C40EFDA28451D723F6EA,english_discovery,unreviewed
ega:IV.4.2.1,IV,proposition,4.2.1,IV.4.2.1,ega:subsection:IV.4.2,,components/02_section42_associated_prime_cycles.tex,6,1E657E3ED0A8E32CDDA1C28090B7E61ED2940BA5A4AF2129809E42684661E689,english_discovery,unreviewed
ega:IV.4.2.1.1,IV,equation,IV.4.2.1.1,IV.4.2.1.1,ega:IV.4.2.1,,components/02_section42_associated_prime_cycles.tex,16,14B7329FB3CB40B096656499AB5C1C03F8217E8AE34D0C6CB38B58CAF0F889F5,english_discovery,unreviewed
ega:IV.4.2.1.2,IV,equation,IV.4.2.1.2,IV.4.2.1.2,ega:IV.4.2.1,,components/02_section42_associated_prime_cycles.tex,23,7CAEEC3B6C4BE334865DCB3CBC530019D83B323A5015B74AF3FD4710696EC5F1,english_discovery,unreviewed
ega:IV.4.2.1:proof,IV,proof,proof,,ega:IV.4.2.1,,components/02_section42_associated_prime_cycles.tex,27,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.2.1:diagram:xymatrix:1,IV,diagram,xymatrix:1,,ega:IV.4.2.1,IV-2:55,components/02_section42_associated_prime_cycles.tex,47,952F6AC7C5131FD5043B271C64B2DE2A1177A4D8E5BD3897DD25DF4EC2250524,english_discovery,unreviewed
ega:IV.4.2.1.3,IV,equation,IV.4.2.1.3,IV.4.2.1.3,ega:IV.4.2.1,IV-2:55,components/02_section42_associated_prime_cycles.tex,60,5DC06C786E87A8AFBB7965E51FB5CEEB6E56BD27CE146FC4822A56711C98B323,english_discovery,unreviewed
ega:IV.4.2.2,IV,corollary,4.2.2,IV.4.2.2,ega:subsection:IV.4.2,IV-2:55,components/02_section42_associated_prime_cycles.tex,106,5E4ED07E768A293FA4D64695642F7E334BA8CD1464509512AE1F6AA47C2A8981,english_discovery,unreviewed
ega:IV.4.2.3,IV,corollary,4.2.3,IV.4.2.3,ega:subsection:IV.4.2,IV-2:55,components/02_section42_associated_prime_cycles.tex,114,C84721FE8EE7ABB9BCC8E0F24F65355480684FAD149B700C58566F29667EF1BA,english_discovery,unreviewed
ega:IV.4.2.4,IV,proposition,4.2.4,IV.4.2.4,ega:subsection:IV.4.2,IV-2:55,components/02_section42_associated_prime_cycles.tex,133,E99A10C5FCA3A9303ECAFC70285A5435C65C78DAE1059D1D191491A1E83A18A1,english_discovery,unreviewed
ega:IV.4.2.4.i,IV,label,(i),IV.4.2.4.i,ega:subsection:IV.4.2,IV-2:55,components/02_section42_associated_prime_cycles.tex,141,39502705F2A4A4A5CADFE626DA9E4AC81A4A6BFCE620B88228F5E87A23706227,english_discovery,unreviewed
ega:IV.4.2.4.ii,IV,label,(i),IV.4.2.4.ii,ega:subsection:IV.4.2,IV-2:55,components/02_section42_associated_prime_cycles.tex,156,DD06AADD04402CCBA4A40C808AB16CE8E83149A2AA19FE0C56F99CD6E2A9DA3A,english_discovery,unreviewed
ega:IV.4.2.4.iii,IV,label,(i),IV.4.2.4.iii,ega:subsection:IV.4.2,IV-2:56,components/02_section42_associated_prime_cycles.tex,174,41550DD8C61E3CE8CCB8A1C0AD2B24D1982F75116473196DC6AE2E6191A5CD51,english_discovery,unreviewed
ega:IV.4.2.4:proof,IV,proof,proof,,ega:IV.4.2.4,IV-2:56,components/02_section42_associated_prime_cycles.tex,183,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.2.5,IV,proposition,4.2.5,IV.4.2.5,ega:subsection:IV.4.2,IV-2:56,components/02_section42_associated_prime_cycles.tex,224,816025CFE5F618CCC79ADC3C2CA323DD0B242B190C3F2A938CF556908E257F5E,english_discovery,unreviewed
ega:IV.4.2.5:proof,IV,proof,proof,,ega:IV.4.2.5,IV-2:56,components/02_section42_associated_prime_cycles.tex,239,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.2.6,IV,corollary,4.2.6,IV.4.2.6,ega:subsection:IV.4.2,IV-2:56,components/02_section42_associated_prime_cycles.tex,248,830685D5EEF2894945F4E4EDDD89C773E5631A314C5FB54505532F3077AA658E,english_discovery,unreviewed
ega:IV.4.2.6:proof,IV,proof,proof,,ega:IV.4.2.6,IV-2:56,components/02_section42_associated_prime_cycles.tex,260,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.2.7,IV,proposition,4.2.7,IV.4.2.7,ega:subsection:IV.4.2,IV-2:56,components/02_section42_associated_prime_cycles.tex,286,940FCC82615BB180D2B19D9931B095EB93FAB205D73A9BD3314DA6831D03E37C,english_discovery,unreviewed
ega:IV.4.2.7.i,IV,label,(i),IV.4.2.7.i,ega:subsection:IV.4.2,IV-2:56,components/02_section42_associated_prime_cycles.tex,294,18A7E39DCFFDD8902232A51389727CE5B5B5FF098501F69855C0CCC24B70B262,english_discovery,unreviewed
ega:IV.4.2.7.ii,IV,label,(i),IV.4.2.7.ii,ega:subsection:IV.4.2,IV-2:56,components/02_section42_associated_prime_cycles.tex,305,4A315B23D63A18ABCBE5415C19FE472682B661DCDBEC631FB6C45D351126D78D,english_discovery,unreviewed
ega:IV.4.2.7.iii,IV,label,(i),IV.4.2.7.iii,ega:subsection:IV.4.2,IV-2:57,components/02_section42_associated_prime_cycles.tex,316,C80CFB5C6A627A1CAF4FE9DB0FE09667D6D7DDDEA81096F516E739FC7F63CAF6,english_discovery,unreviewed
ega:IV.4.2.7.iv,IV,label,(i),IV.4.2.7.iv,ega:subsection:IV.4.2,IV-2:57,components/02_section42_associated_prime_cycles.tex,326,03AB7B0518DAEF0E1D2BE0479850D81923E535DECE890F495EE0CC390F02471D,english_discovery,unreviewed
ega:IV.4.2.7:proof,IV,proof,proof,,ega:IV.4.2.7,IV-2:57,components/02_section42_associated_prime_cycles.tex,334,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.2.8,IV,corollary,4.2.8,IV.4.2.8,ega:subsection:IV.4.2,IV-2:57,components/02_section42_associated_prime_cycles.tex,349,BAB465C33DECC089E4263CBB9F0E29E64D2E2E204BE12B662FC36307D3C5CC53,english_discovery,unreviewed
ega:IV.4.2.9,IV,proposition,4.2.9,IV.4.2.9,ega:subsection:IV.4.2,IV-2:57,components/02_section42_associated_prime_cycles.tex,359,9D66435D1700BFEEE7349D92AFAFE983C346224CF23F0568AC0D449391A7B1AF,english_discovery,unreviewed
ega:IV.4.2.9:proof,IV,proof,proof,,ega:IV.4.2.9,IV-2:57,components/02_section42_associated_prime_cycles.tex,382,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.2.10,IV,corollary,4.2.10,IV.4.2.10,ega:subsection:IV.4.2,IV-2:57,components/02_section42_associated_prime_cycles.tex,456,AC9FB962A2C7366B97D4BC84048F9C4BB27701CD600B5A4974FCE09E4FD79C97,english_discovery,unreviewed
ega:IV.4.2.10:proof,IV,proof,proof,,ega:IV.4.2.10,IV-2:57,components/02_section42_associated_prime_cycles.tex,473,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:subsection:IV.5.2,IV,subsection,subsection:IV.5.2,subsection:IV.5.2,ega:volume:IV,,components/02_section52_dimension_of_algebraic_preschemes.tex,3,2CB707E06849CE762CD0083A1DD1D6C474CC0E0D2EFB7E6764D3C0D6CA2B30DC,english_discovery,unreviewed
ega:IV.5.2.1,IV,proposition,5.2.1,IV.5.2.1,ega:subsection:IV.5.2,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,9,8229C182E60162D3F5FFB2B75FEC3890456B4A071E0B26CE09D7F8EB7F63B26F,english_discovery,unreviewed
ega:IV.5.2.1:proof,IV,proof,proof,,ega:IV.5.2.1,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,18,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.2.1.1,IV,equation,IV.5.2.1.1,IV.5.2.1.1,ega:IV.5.2.1,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,28,FDDAEA2B49D092DD7C1AC370E876572E4469111A4BDF3D640C510A4589A19D0E,english_discovery,unreviewed
ega:IV.5.2.2,IV,corollary,5.2.2,IV.5.2.2,ega:subsection:IV.5.2,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,90,D13B8259D5CA5B20CF6016169A99759645A954084A68BE321A97BC4C9C79C6E8,english_discovery,unreviewed
ega:IV.5.2.2:proof,IV,proof,proof,,ega:IV.5.2.2,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,95,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.2.3,IV,corollary,5.2.3,IV.5.2.3,ega:subsection:IV.5.2,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,108,AEB2B32D4AD0F03CAE235DA491B05A48CB3097B74EA556D0E19BA8577F2321B7,english_discovery,unreviewed
ega:IV.5.2.3.1,IV,equation,IV.5.2.3.1,IV.5.2.3.1,ega:IV.5.2.3,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,113,5761E4EC015CE45B3477361581D089218DA745D4A5996C0024487C504C58294E,english_discovery,unreviewed
ega:IV.5.2.3:proof,IV,proof,proof,,ega:IV.5.2.3,IV-2:90,components/02_section52_dimension_of_algebraic_preschemes.tex,117,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.2.4,IV,corollary,5.2.4,IV.5.2.4,ega:subsection:IV.5.2,IV-2:91,components/02_section52_dimension_of_algebraic_preschemes.tex,159,B40282C093017ACAD72327C26FB30A00D3C7C7A114439EA47D18FBF03269306D,english_discovery,unreviewed
ega:IV.5.2.4:proof,IV,proof,proof,,ega:IV.5.2.4,IV-2:91,components/02_section52_dimension_of_algebraic_preschemes.tex,175,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.5.2.5,IV,remarks,5.2.5,IV.5.2.5,ega:subsection:IV.5.2,IV-2:91,components/02_section52_dimension_of_algebraic_preschemes.tex,198,884E2BF439B97B0A52FE3196449D2B72BD4486D47F27A8FCE633D65ECD8C4B7D,english_discovery,unreviewed
